,正式名称,id,年,所属,ライセンス,営業収入,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数,総入場者数,ホーム総試合数
札幌,北海道コンサドーレ札幌,1,2020,J1,J1,3096,1736,244,411,26,271,408,3487,1614,211,269,58,0,189,1146,-391,94,17,-314,87,43,-270,1,-271,0,1299,432,1732,177,1300,1478,1287,376,-1410,253,12,39,1.1471,73155,17,7874,3,0,0,0,0,0,0,81029,20
仙台,ベガルタ仙台,2,2020,J1,J1,1997,1015,168,367,60,193,194,2493,1246,75,207,56,90,168,651,-496,35,4,-465,0,16,-481,-1,-480,0,811,447,1258,600,782,1382,630,177,-931,-124,17,28,0.8235,70773,17,1840,1,0,0,0,0,0,0,72613,18
鹿島,鹿島アントラーズ,3,2020,J1,J1,4797,2061,475,843,196,682,540,5746,2550,338,341,125,0,499,1893,-949,12,8,-945,0,0,-945,0,-945,0,2109,1912,4021,2505,292,2797,1570,147,-493,1224,5,59,1.7353,104402,17,2591,1,0,0,4275,1,0,0,111268,19
浦和,浦和レッズ,4,2020,J1,J1,5771,3750,423,400,22,814,362,6539,3119,320,418,55,88,465,2074,-768,179,10,-599,0,12,-611,1,-612,181,747,2248,2995,1768,220,1988,273,113,621,1007,10,46,1.3529,133780,17,19589,1,0,0,0,0,0,0,153369,18
FC東京,FC東京,7,2020,J1,J1,4588,2284,314,639,293,371,687,5007,3034,258,332,149,0,291,943,-419,116,15,-318,0,0,-318,7,-325,0,2017,344,2361,405,0,405,1187,0,769,1956,6,57,1.6765,100522,17,3558,1,0,0,14385,2,0,0,118465,20
川崎F,川崎フロンターレ,8,2020,J1,J1,5445,2097,435,1139,160,678,936,5662,3036,195,363,47,0,490,1531,-217,54,1,-164,0,0,-164,-33,-131,0,839,2001,2840,737,131,868,349,31,1592,1972,1,83,2.4412,133659,17,23692,2,0,0,0,0,0,0,157351,19
横浜FM,横浜F・マリノス,9,2020,J1,J1,5864,2727,497,949,308,1039,344,5929,2962,242,466,170,0,605,1484,-65,78,11,2,1,0,3,-1,4,4,1773,760,2533,2290,173,2463,99,0,-29,70,9,47,1.3824,135466,17,4785,1,0,0,11803,1,0,0,152054,19
横浜FC,横浜FC,25,2020,J1,J1,2165,1078,151,363,156,110,307,2033,1010,96,238,157,0,108,424,132,10,1,141,0,91,50,41,9,0,285,80,365,289,60,349,354,125,-463,16,15,33,0.9706,60519,17,4287,1,0,0,0,0,0,0,64806,18
清水,清水エスパルス,12,2020,J1,J1,4545,2753,295,385,284,377,451,4330,1937,165,581,170,0,289,1188,215,18,14,219,0,178,41,3,38,0,507,1008,1515,900,551,1451,90,0,-27,63,16,28,0.8235,89002,17,4686,2,0,0,0,0,0,0,93688,19
名古屋,名古屋グランパス,29,2020,J1,J1,5236,3424,378,393,146,406,489,5880,3525,219,412,106,0,274,1344,-644,122,7,-529,0,0,-529,0,-529,0,1060,568,1629,1389,196,1586,105,0,-62,42,3,63,1.8529,145472,17,14222,2,0,0,0,0,0,0,159694,19
G大阪,ガンバ大阪,14,2020,J1,J1,4491,1898,324,405,147,496,1221,4926,2721,327,379,144,0,392,963,-435,126,32,-341,0,0,-341,0,-341,0,500,1597,2097,1768,61,1829,10,0,258,268,2,65,1.9118,129235,17,13114,1,0,0,0,0,10120,17,152469,35
C大阪,セレッソ大阪,15,2020,J1,J1,2915,1699,310,394,0,214,298,3579,2020,247,418,0,0,182,712,-664,11,4,-657,0,144,-801,0,-801,0,410,135,545,947,386,1333,485,0,-1273,-788,4,60,1.7647,119240,17,12783,3,0,0,0,0,9511,17,141534,37
神戸,ヴィッセル神戸,16,2020,J1,J1,4714,1669,422,471,197,509,1446,9845,6396,240,602,138,0,414,2055,-5131,59,66,-5138,5250,26,86,45,41,0,2008,1858,3866,2383,138,2521,98,561,685,1344,14,36,1.0588,102713,17,3925,1,0,0,7256,1,0,0,113894,19
広島,サンフレッチェ広島,17,2020,J1,J1,3209,1593,272,570,61,260,453,3401,2040,165,295,101,0,181,619,-192,26,3,-169,0,1,-170,-4,-166,0,1158,323,1482,347,344,692,220,52,517,790,8,48,1.4118,77271,17,0,0,0,0,0,0,0,0,77271,17
鳥栖,サガン鳥栖,18,2020,J1,J1,1649,558,216,364,61,122,328,2545,1389,136,197,27,0,117,679,-896,370,72,-598,0,116,-714,1,-715,0,667,21,688,556,826,1382,2189,2039,-4923,-693,13,36,1.0588,79468,17,11403,2,0,0,0,0,0,0,90871,19
