,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産,流動負債,固定負債,総負債,資本金,資本剰余金等,利益剰余金,純資産,順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,総入場者数,ホーム総試合数
札幌,北海道コンサドーレ札幌,1,2021,J1,J1,3392,1445,440,434,25,329,719,3705,1660,313,287,50,0,258,1137,-313,78,11,-246,300,71,-17,2,-19,Null,1677,276,1953,483,1235,1718,1287,377,-1429,235,10,51,1.3421,129515,19,21800,5,0,0,0,0,151315,24
仙台,ベガルタ仙台,2,2021,J1,J1,2121,1104,268,395,59,46,249,2259,1156,91,262,71,0,35,644,-138,14,6,-130,6,11,-135,5,-140,Null,695,500,1195,703,757,1460,630,177,-1072,-265,19,28,0.7368,116884,19,6709,3,0,0,0,0,123593,22
鹿島,鹿島アントラーズ,3,2021,J1,J1,6603,2511,581,578,239,695,1999,6545,2868,425,469,145,0,534,2104,58,9,59,8,0,0,8,0,8,Null,2827,2109,4936,3482,275,3757,1570,147,-538,1179,4,69,1.8158,148543,19,23878,5,0,0,0,0,172421,24
浦和,浦和レッズ,4,2021,J1,J1,6891,3898,626,471,26,841,1029,6990,3089,390,521,87,121,566,2216,-99,105,3,3,0,0,3,1,2,262,554,2321,2875,1673,194,1867,273,113,622,1008,6,63,1.6579,156636,19,34762,6,0,0,0,0,191398,25
FC東京,FC東京,7,2021,J1,J1,4772,2497,511,664,375,442,283,4998,2712,275,336,206,0,325,1144,-226,63,4,-167,0,311,-478,7,-485,Null,1911,19,1930,416,44,460,1187,0,283,1471,9,53,1.3947,135637,19,30608,6,0,0,0,0,166245,25
川崎F,川崎フロンターレ,8,2021,J1,J1,6982,2880,490,724,220,996,1672,6425,3630,199,446,62,0,698,1390,557,39,0,596,0,0,596,150,446,Null,2281,2013,4294,1777,99,1876,349,31,2038,2418,1,92,2.4211,137084,19,4936,1,0,0,0,0,142020,20
横浜FM,横浜F・マリノス,9,2021,J1,J1,5228,2197,654,929,0,775,673,5242,2541,301,445,0,0,494,1461,-14,25,8,3,0,0,3,-1,4,786,1348,724,2072,1840,158,1998,99,0,-25,74,2,79,2.0789,170831,19,18723,4,0,0,0,0,189554,23
横浜FC,横浜FC,25,2021,J1,J1,2560,1085,248,382,185,120,540,2623,1513,108,242,175,0,111,474,-63,28,10,-45,0,22,-67,1,-68,Null,447,594,1041,415,278,693,100,325,-77,348,20,27,0.7105,85709,19,8376,3,0,0,0,0,94085,22
清水,清水エスパルス,12,2021,J1,J1,4366,2683,439,387,313,166,378,4328,2127,222,655,194,0,61,1069,38,30,13,55,14,59,10,-2,12,Null,373,981,1354,809,470,1279,90,0,-15,75,14,42,1.1053,141638,19,15979,4,0,0,0,0,157617,23
名古屋,名古屋グランパス,29,2021,J1,J1,6173,3534,592,542,193,584,728,5927,3089,310,546,103,0,355,1524,246,26,581,-309,0,0,-309,30,-339,Null,992,506,1498,1581,214,1795,105,0,-401,-296,5,66,1.7368,210614,19,13522,2,0,0,5442,1,229578,22
G大阪,ガンバ大阪,14,2021,J1,J1,5179,1923,249,522,170,480,1835,5206,2735,291,472,158,0,436,1114,-27,283,174,82,0,0,82,0,82,Null,514,1345,1859,1447,62,1509,10,0,340,350,13,44,1.1579,101573,19,4869,1,0,0,0,0,106442,20
C大阪,セレッソ大阪,15,2021,J1,J1,3738,1994,361,498,0,293,592,4435,2449,324,588,0,0,217,857,-697,7,10,-700,360,75,-415,0,-415,Null,1659,163,1822,2593,433,3026,485,0,-1689,-1204,12,48,1.2632,96330,19,12859,2,0,0,3156,1,112345,22
神戸,ヴィッセル神戸,16,2021,J1,J1,6389,1681,486,438,232,462,3090,9527,5052,279,557,189,0,369,3081,-3138,40,135,-3233,3300,2,65,18,47,Null,1669,1891,3560,2028,140,2168,98,561,733,1392,3,73,1.9211,135288,19,6904,4,0,0,0,0,142192,23
広島,サンフレッチェ広島,17,2021,J1,J1,3460,1779,262,498,68,297,556,3485,1876,259,321,134,86,217,592,-25,18,4,-11,40,4,25,6,19,Null,1398,387,1785,467,546,1014,220,52,499,771,11,49,1.2895,112485,19,8134,3,0,0,0,0,120619,22
徳島,徳島ヴォルティス,35,2021,J1,J1,2745,1604,167,376,66,138,394,2710,1684,100,305,60,0,111,450,35,8,0,43,0,0,43,14,29,Null,1225,542,1767,331,51,382,409,0,976,1385,17,36,0.9474,106997,19,7739,3,0,0,0,0,114736,22
福岡,アビスパ福岡,37,2021,J1,J1,2132,803,312,399,164,173,281,2614,1643,119,243,69,0,137,403,-482,4,24,-502,9,11,-504,1,-505,Null,582,372,954,939,370,1309,360,430,-1145,-355,8,54,1.4211,102662,19,6507,3,0,0,0,0,109169,22
鳥栖,サガン鳥栖,18,2021,J1,J1,2267,652,468,394,48,198,507,2464,1334,126,197,53,0,122,632,-197,58,32,-171,0,50,-221,0,-221,Null,856,21,877,591,750,1341,394,225,-1083,-464,7,59,1.5526,138244,19,12028,3,0,0,0,0,150272,22
大分,大分トリニータ,40,2021,J1,J1,2096,758,354,388,45,139,412,2106,1251,93,195,66,2,68,431,-10,6,1,-5,0,0,-5,0,-5,Null,526,174,700,373,131,504,40,150,6,196,18,35,0.9211,127732,19,10113,3,0,0,0,0,137845,22
秋田,ブラウブリッツ秋田,42,2021,J2,J1,775,388,38,156,56,36,101,782,265,58,117,42,0,35,265,-7,38,1,30,0,4,26,-9,35,Null,248,48,296,93,117,210,57,52,-23,86,13,47,1.1190,44032,21,0,0,0,0,0,0,44032,21
山形,モンテディオ山形,19,2021,J2,J1,1847,699,181,147,0,127,693,1836,588,104,185,0,0,95,864,11,20,2,29,0,1,28,9,19,205,662,227,889,406,342,749,10,0,130,140,7,68,1.6190,106722,21,0,0,0,0,0,0,106722,21
水戸,水戸ホーリーホック,20,2021,J2,J1,824,313,78,158,29,80,166,873,351,87,99,21,0,73,242,-49,1,0,-48,1,1,-48,1,-49,30,513,12,525,250,116,366,127,109,-77,159,10,59,1.4048,56625,21,0,0,0,0,0,0,56625,21
栃木,栃木SC,44,2021,J2,J1,978,495,105,153,63,81,81,964,323,95,136,33,0,44,333,14,10,1,23,0,1,22,3,19,Null,409,75,484,143,131,274,315,115,-220,210,14,45,1.0714,81078,21,0,0,0,0,0,0,81078,21
群馬,ザスパクサツ群馬,21,2021,J2,J1,637,323,57,157,0,48,52,672,298,69,96,11,0,33,165,-35,16,0,-19,0,5,-24,3,-27,Null,217,17,234,130,0,130,284,127,-307,104,18,41,0.9762,43732,21,0,0,0,0,0,0,43732,21
大宮,大宮アルディージャ,5,2021,J2,J1,3115,2281,200,161,225,125,123,3082,1354,181,309,100,50,136,952,33,19,52,0,0,0,0,0,0,Null,547,596,1144,460,673,1133,100,240,-329,11,16,42,1.0000,90527,21,0,0,0,0,0,0,90527,21
千葉,ジェフユナイテッド千葉,22,2021,J2,J1,2371,1655,188,158,69,118,183,2359,1053,158,211,98,75,88,676,12,23,23,12,0,15,-3,-4,1,Null,1363,716,2080,1024,650,1674,490,390,-474,405,8,66,1.5714,85437,21,0,0,0,0,0,0,85437,21
東京V,東京ヴェルディ,23,2021,J2,J1,1755,942,106,153,195,132,227,1860,678,104,280,65,63,100,570,-105,6,6,-105,0,0,-105,0,-105,Null,255,138,393,422,475,897,351,262,-1117,-504,12,58,1.3810,68171,21,0,0,0,0,0,0,68171,21
町田,FC町田ゼルビア,24,2021,J2,J1,1492,1099,75,144,26,52,96,1494,655,153,161,25,0,41,459,-2,9,2,5,0,0,5,2,3,Null,242,1117,1359,166,16,182,100,1335,-258,1177,5,72,1.7143,54128,21,0,0,0,0,0,0,54128,21
相模原,SC相模原,46,2021,J2,J2,776,416,85,169,0,44,62,677,265,70,74,0,0,32,236,99,14,20,93,0,1,92,22,70,Null,180,34,214,114,25,139,24,0,51,75,19,38,0.9048,49802,21,0,0,0,0,0,0,49802,21
甲府,ヴァンフォーレ甲府,10,2021,J2,J1,1292,718,177,161,18,102,116,1228,483,79,184,13,0,81,388,64,26,6,84,0,0,84,17,67,Null,610,141,751,271,200,471,367,0,-87,280,3,80,1.9048,90824,21,0,0,0,0,0,0,90824,21
松本,松本山雅FC,27,2021,J2,J1,1903,968,358,165,17,143,252,1829,823,167,156,26,0,91,566,74,45,1,118,0,0,118,38,80,Null,976,268,1244,262,125,387,205,0,651,856,22,34,0.8095,129226,21,0,0,0,0,0,0,129226,21
新潟,アルビレックス新潟,11,2021,J2,J1,2208,954,475,174,155,314,136,2130,691,236,197,160,0,235,611,78,203,33,248,152,0,400,128,272,87,1513,615,2128,522,872,1394,100,613,21,734,6,68,1.6190,228452,21,0,0,0,0,0,0,228452,21
金沢,ツエーゲン金沢,28,2021,J2,J1,761,313,47,155,56,69,121,759,347,46,105,30,0,41,190,2,2,0,4,0,0,4,2,2,47,237,110,347,74,209,283,150,0,-86,64,17,41,0.9762,53203,21,0,0,0,0,0,0,53203,21
