,正式名称,id,年,所属,ライセンス,営業収入,スポンサー収入,入場料収入,Jリーグ配分金,アカデミー関連収入,女子チーム関連収入,物販収入,その他収入,営業費用,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,その他売上原価,販売費および一般管理費,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,流動資産,固定資産等,総資産(資産の部),流動負債,固定負債,総負債(負債の部),資本金,資本剰余金等,利益剰余金,純資産(純資産の部),順位,勝ち点,PPG,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,年間総入場者数,年間ホーム試合数
札幌,北海道コンサドーレ札幌,1,2023,J1,J1,4111,1933,775,347,26,0,467,563,4640,1723,517,441,215,0,364,736,644,-529,78,19,-470,90,30,-410,2,-412,191,1413,478,1891,835,1052,1887,1736,826,-2558,4,12,40,1.1765,273456,17,28074,4,0,0,0,0,301530,21
鹿島,鹿島アントラーズ,3,2023,J1,J1,6462,2418,1201,333,259,0,893,1358,6777,2532,368,378,446,0,693,363,1997,-315,2,13,-326,0,0,-326,-15,-311,94,3062,1881,4943,3180,198,3378,2257,835,-1527,1565,5,52,1.5294,374521,17,35667,4,0,0,0,0,410188,21
浦和,浦和レッズ,4,2023,J1,J1,10384,4223,2145,473,32,121,1583,1807,10017,3860,726,786,216,404,1214,197,2614,367,34,9,392,0,0,392,87,305,270,1405,2046,3451,1663,178,1841,273,113,1224,1610,4,57,1.6765,518648,17,84684,5,0,0,106570,5,709902,27
FC東京,FC東京,7,2023,J1,J1,5929,2836,1208,316,435,0,610,524,6026,2597,369,438,571,0,492,8,1551,-97,31,7,-73,0,149,-222,7,-229,Null,3195,18,3213,959,44,1003,1762,575,-127,2210,11,43,1.2647,499965,17,30720,4,0,0,0,0,530685,21
川崎,川崎フロンターレ,8,2023,J1,J1,7963,3452,1258,432,263,0,951,1607,7839,3287,259,661,351,0,798,0,2483,124,27,2,149,0,0,149,91,58,Null,1570,4232,5802,3021,130,3151,349,31,2271,2651,8,50,1.4706,337286,17,48380,3,0,0,28097,3,413763,23
横浜FM,横浜F・マリノス,9,2023,J1,J1,6509,2222,1499,410,0,0,1244,1134,6577,3042,481,591,0,0,795,0,1668,-68,90,14,8,0,5,3,-1,4,984,1504,899,2403,2090,226,2316,99,6,-18,87,2,64,1.8824,471164,17,44045,5,0,0,25487,3,540696,25
横浜FC,横浜FC,25,2023,J1,J1,3627,1528,524,287,240,0,235,813,3973,2089,264,286,366,0,202,32,734,-346,42,29,-333,0,0,-333,11,-344,157,817,459,1276,537,911,1448,100,325,-597,-172,18,29,0.8529,155184,17,9385,3,0,0,0,0,164569,20
新潟,アルビレックス新潟,11,2023,J1,J1,3659,1233,847,322,196,0,630,431,3039,889,268,232,291,0,449,0,910,620,55,9,666,0,0,666,206,460,268,2341,882,3223,1076,821,1897,100,612,614,1326,10,45,1.3235,392920,17,28254,3,0,0,0,0,421174,20
名古屋,名古屋グランパス,29,2023,J1,J1,6303,2738,1243,352,217,0,634,1119,6115,2836,432,368,377,0,390,921,791,188,66,33,221,0,0,221,23,198,Null,1368,586,1954,1145,184,1329,105,0,520,625,6,52,1.5294,467575,17,53502,5,0,0,0,0,521077,22
京都,京都サンガF.C.,31,2023,J1,J1,3393,1997,599,289,135,0,123,250,3311,1838,221,226,294,0,54,0,678,82,33,53,62,0,1,61,31,30,Null,1058,255,1313,650,27,677,50,556,30,636,13,40,1.1765,224893,17,18013,3,0,0,0,0,242906,20
